web-scraper-order|web-scraper-start-url|author|title|date|content|rating|next|next-href||||||||||||
1556766015-4051|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Melissa G.|loved it|8-Oct-14|I loved everything. It's better than the first one. I'd recommend it to anyone. It's a great book. My sister and I love it a lot|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&filterByStar=five_star&pageNumber=31&reviewerType=all_reviews||||||||||||
1556765966-3832|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Chubby Bookworm|Loved it!|1-Mar-16|Love this series! This is another great installment. Poor Uncle Monty though. :(|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&filterByStar=five_star&pageNumber=9&reviewerType=all_reviews||||||||||||
1556766088-4367|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Amazon Customer|Five Stars|8-Feb-17|Friend loves it!|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&filterByStar=five_star&pageNumber=63&reviewerType=all_reviews||||||||||||
"1556766056-4232,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,frfubar8,More fun than the mamba du mal.....,20-Aug-05,""After stretching his vocal legs with 'The Bad Beginning', Mr. Curry returns with Book the Second familiar with his characters and it seems having great fun with them.  This is my favorite of all the Lemony Snicket audios *well alright, Mr. Curry's voice for Capt. Widdershins in book eleven had me rolling on the floor with tears in my eyes laughing...but I digress*.  His voice for Uncle Monty is inspired and worth the price of the CD in itself."||||||||||||||||||||
||||||||||||||||||||
"If you love the books, as I do, then you owe it to yourself to get the audios as well."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_49?ie=UTF8&filterByStar=five_star&pageNumber=49&reviewerType=all_reviews"||||||||||||||||||||
"1556766078-4328,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Ashley,Buy This Book and Read it Quick!,9-Nov-02,""Fantastic!"||||||||||||||||||||
Scary!||||||||||||||||||||
Great Book!||||||||||||||||||||
"You should definetly read this book because it is the best book in the series.  Violet Claus and Sunny make themselves freaks and work in the house of Freaks but get paid nothing.  Then Count Olaf comes up with a great idea.  This idea has something to do with Violet, Claus or Sunny seeing the Belly of the Beast. Will the fortune be kept safe or will this book end with an unfortunate, sad ending? This book is definetly worth your time and effort in reading it!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_59?ie=UTF8&filterByStar=five_star&pageNumber=59&reviewerType=all_reviews"||||||||||||||||||||
1556766017-4064|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|Katherine Burns|The reptile room|22-Apr-14|A great book the first one was great as well you should read the whole series it is amazingly good|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_32?ie=UTF8&filterByStar=five_star&pageNumber=32&reviewerType=all_reviews||||||||||||
"1556765973-3855,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Cash Davis,Just as fun as the first!!,2-Feb-13,""It's my first time reading this series, and I have to say, they are terribly entertaining. We follow the Baudelairs to Uncle Montys in book two. Super fun and very clever."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&filterByStar=five_star&pageNumber=12&reviewerType=all_reviews"||||||||||||||||||||
1556765958-3791|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1|D. Grupe|Five Stars|9-May-18|Great condition.|5.0 out of 5 stars|Next page?|https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&filterByStar=five_star&pageNumber=5&reviewerType=all_reviews||||||||||||
"1556766036-4141,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Ro Bot,Just as good as the first.,19-Oct-16,""I really like the style of writing that Mr. Snicket uses in these books. He writes in a way that adults can read and enjoy, and that children can read and learn words and phrases from. He finds ways to use repeat phrases and words (""""Meanwhile, back at the ranch"""", and """"tenebrous hue""""). This book follows the same pattern of misfortune that the Baudelaire siblings experience in the first book, yet we also see them happy (for a time) and loving their uncle Monty. The illustrations scattered throughout the book are an added bonus, as they make the reading experience all the more enjoyable!"||||||||||||||||||||
||||||||||||||||||||
"I'm looking forward to reading the rest of the series!"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_40?ie=UTF8&filterByStar=five_star&pageNumber=40&reviewerType=all_reviews"||||||||||||||||||||
"1556766042-4171,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,E. R. Bird,Woe woe misery and woe,13-Mar-04,""And on we move to the second book in the classic Series of Unfortunate Events.  If you've stumbled onto the Lemony Snicket series by chance, I wouldn't necessarily command you to read the first book before this, the second.  But you'd probably wish to do so yourself.  Following the further adventures of the unfortunate Baudelaire orphans, we find our intrepid trio finally living with a relative they've grown to love.  Uncle Monty (as he prefers to be called) is a herpetologist of the finest pedigree, and he offers the siblings the first real home they've had in a while.  Unfortunately, misery continues to dog them in the form of the evil Count Olaf.  Donning one of his many disguises, Olaf does his darndest, yet again, to get his oily hands on the Baudelaire fortune.  And so forth."||||||||||||||||||||
"One of the finest books in the series, no question.  And, perhaps, one of the saddest.  After all, Uncle Monty is one of the few guardians with whom the orphans feel a real kinship.  Snicket does a lovely job displaying their affection for him which simultaneously not making you too too terribly unhappy when that joyful confluence must break apart.  Happiness is not in store for the Baudelairs for some time now.  We shouldn't be wishing it too soon.  Still, Uncle Monty's exit is a real blow to the series in that you really do come to like him before his removal from the book.  Just the same, there's plenty to love.  I, myself, was quite taken with the movie, """"Zombies In the Snow"""", that the Baudelaires watch with heavy hearts at one point in the proceedings.  Hollywood should take note - """"Zombies In the Snow"""" may be the next big storyline to hit!"||||||||||||||||||||
"For happy book involving ponies, locate one of the bazillion pony books out there.  For misery, delightful redundancy, and a truly gross villain I direct your attention to Snicket's latest.  Tis a wonderful read for the whole gosh-darn family (though he'd be loathe to say so himself)."",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_43?ie=UTF8&filterByStar=five_star&pageNumber=43&reviewerType=all_reviews"||||||||||||||||||||
"1556766015-4054,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,Shellie,Awsome,22-Jan-14,""Its sad how the incredible deadly viper had to leave and not be with the voilet klaus and sunny"||||||||||||||||||||
":(  sad  awsome book"",5.0 out of 5 stars,Next page?,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_paging_btm_31?ie=UTF8&filterByStar=five_star&pageNumber=31&reviewerType=all_reviews"||||||||||||||||||||
"1556766047-4185,https://www.amazon.com/Carnivorous-Carnival-Unfortunate-Events/product-reviews/0064410129/ref=cm_cr_arp_d_hist_5?ie=UTF8&reviewerType=all_reviews&filterByStar=five_star&pageNumber=1,L. Boyles,Carnivorous Carnival,9-Nov-11,""The Carnivorous Carnival"||||||||||||||||||||
